Corporation,Route No,Service Type,Source,Destination,Departure,Arrival
SETC,1700ALAKCB / 290UD,ULTRA DELUXE,ALANKULAM,CHENNAI-KILAMBAKKAM-KCBT,17:00,07:30
SETC,1900EMBKCB / 145EUD,ULTRA DELUXE,EMBAL,CHENNAI-KILAMBAKKAM-KCBT,20:05,04:00
SETC,2030ARNKCBLB / 131UD,NON AC LOWER BERTH SEATER,ARANTHANGI,CHENNAI-KILAMBAKKAM-KCBT,20:30,05:30
SETC,1500KTMKCB / 189UD,ULTRA DELUXE,KUTTAM,CHENNAI-KILAMBAKKAM-KCBT,18:30,05:30
SETC,1800VIAKCBNS / 171NS,NON AC SLEEPER SEATER,VILATHIKULAM,CHENNAI-KILAMBAKKAM-KCBT,18:45,05:00
SETC,1900ARUKCB / 170XUD,ULTRA DELUXE,ARUPPUKOTTAI,CHENNAI-KILAMBAKKAM-KCBT,19:00,06:00
SETC,1600TICTIINS / 191TNS,NON AC SLEEPER SEATER,TIRUCHENDUR,CHENNAI TIRUVOTRIYUR,19:00,05:15
SETC,1900EMBKCB / 145EUD,ULTRA DELUXE,EMBAL,CHENNAI-KILAMBAKKAM-KCBT,19:30,04:00
SETC,2015BANBOD / 875BUD,ULTRA DELUXE,SHANTHI NAGAR BS,BODI,20:15,06:30
SETC,2105BANCHDNS / 843CNS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,CHIDAMBARAM,21:05,05:05
SETC,2130BANMYL / 843MUD,ULTRA DELUXE,SHANTHI NAGAR BS,MAYILADUTHURAI,21:30,06:30
SETC,0745BANCOINS / 838NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,07:45,16:15
SETC,0900BANCOINS / 838NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,09:00,17:30
SETC,1130BANCOIAB / 838AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,11:30,19:00
SETC,1215BANCOIAC / 838AC,AIR CONDITIONED,SHANTHI NAGAR BS,COIMBATORE,12:15,19:45
SETC,1715BANEKMNS / 729NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,ERNAKULAM,17:15,02:00
SETC,2030BANCOINS / 838NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,20:30,05:00
SETC,2130BANCOINS / 838NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,21:30,05:30
SETC,2200BANCOIAB / 838AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,22:00,06:00
SETC,2230BANCOIAB / 838AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,COIMBATORE,22:30,06:00
SETC,2345BANCOIAC / 838AC,AIR CONDITIONED,SHANTHI NAGAR BS,COIMBATORE,23:45,07:15
SETC,1900BANKUINS / 875CNS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMILI,19:00,06:15
SETC,2150BANKAPNS / 834NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KALPAKKAM,21:50,07:50
SETC,1815BANKAKNS / 888NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KANYAKUMARI,18:15,09:45
SETC,2000BANDEVNS / 857NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,DEVAKOTTAI,20:00,07:00
SETC,2015BANKUMAB / 844TAB,AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMBAKONAM,20:15,07:30
SETC,2015BANKUMAB / 844TAB,AC SLEEPER SEATER,SHANTHI NAGAR BS,KUMBAKONAM,20:15,07:30
SETC,0700BANMAD / 846UD,ULTRA DELUXE,SHANTHI NAGAR BS,MADURAI,07:00,17:00
SETC,0800BANMAD / 846UD,ULTRA DELUXE,SHANTHI NAGAR BS,MADURAI,08:00,18:00
SETC,0845BANMADNS / 846NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,08:45,18:45
SETC,0930BANMADAB / 846AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,09:30,18:30
SETC,1015BANMADNS / 846NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,10:15,20:15
SETC,1300BANTIUAB / 870AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUNELVELI,13:00,22:30
SETC,1615BANTICAB / 871AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TIRUCHENDUR,16:15,02:15
SETC,1720BANTUTAB / 872AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,TUTICORIN,17:20,03:20
SETC,1830BANTUTNS / 872NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,TUTICORIN,18:30,05:15
SETC,1945BANMAD / 846UD,ULTRA DELUXE,SHANTHI NAGAR BS,MADURAI,19:45,04:45
SETC,2100BANMADNS / 846NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,21:00,06:30
SETC,2130BANMADAB / 846AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,21:30,06:30
SETC,2200BANMADNS / 846NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,22:00,08:00
SETC,2215BANMADNS / 846NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MADURAI,22:15,08:15
SETC,2230BANMADLB / 846LB,NON AC LOWER BERTH SEATER,SHANTHI NAGAR BS,MADURAI,22:30,08:30
SETC,1431BANTRV / 687UD,ULTRA DELUXE,SHANTHI NAGAR BS,TRIVANDRUM,14:31,04:31
SETC,1500BANMARNS / 892NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MARTHANDAM,15:00,07:00
SETC,1915BANMAR / 892UD,ULTRA DELUXE,SHANTHI NAGAR BS,MARTHANDAM,19:15,09:30
SETC,1431BANTRV / 687UD,ULTRA DELUXE,SHANTHI NAGAR BS,TRIVANDRUM,14:31,03:31
SETC,1500BANMARNS / 892NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,MARTHANDAM,15:00,04:00
SETC,1600BANNAGAB / 887AB,AC SLEEPER SEATER,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,16:00,05:00
SETC,1730BANNAGNS / 887NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,17:30,05:30
SETC,1815BANKAKNS / 888NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,KANYAKUMARI,18:15,07:15
SETC,1915BANMAR / 892UD,ULTRA DELUXE,SHANTHI NAGAR BS,MARTHANDAM,19:15,07:40
SETC,2015BANNAG / 887UD,ULTRA DELUXE,SHANTHI NAGAR BS,NAGERCOIL VADACHERRY,20:15,09:15
SETC,2035BANPLNNS / 879NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,PALANI,20:35,05:50
SETC,2000BANPOLNS / 854NS,NON AC SLEEPER SEATER,SHANTHI NAGAR BS,POLLACHI,20:00,05:00
VILLUPURAM,2005BANPUUVVO1L / 451K,DELUXE 3X2,SATELLITE BS,PUDUCHERRY,20:05,04:20
SETC,2205BANPUULB / 622LB,NON AC LOWER BERTH SEATER,SHANTHI NAGAR BS,PUDUCHERRY,22:05,06:05
VILLUPURAM,2005BANPUUVVO1L / 451K,DELUXE 3X2,SATELLITE BS,PUDUCHERRY,20:05,04:20
SETC,2205BANPUULB / 622LB,NON AC LOWER BERTH SEATER,SHANTHI NAGAR BS,PUDUCHERRY,22:05,06:05
SETC,1750BANRAMLB / 885LB,NON AC LOWER BERTH SEATER,SHANTHI NAGAR BS,RAMESWARAM,17:50,06:50
SALEM,0030BANSALDD01A / 100U,AC 3X2,SATELLITE BS,SALEM,00:30,05:30
SALEM,0035BANSALDD02L / 460B,DELUXE 3X2,SATELLITE BS,SALEM,00:35,05:35
SALEM,0100BANSALDD02A / 100T,AC 3X2,SATELLITE BS,SALEM,01:00,06:00
SALEM,0130BANSALDD02A / 100U,AC 3X2,SATELLITE BS,SALEM,01:30,06:30
SALEM,0400BANSALDD02L / 100QR,DELUXE 3X2,SATELLITE BS,SALEM,04:00,09:00
SALEM,0430BANSALDD01A / 100ST,AC 3X2,SATELLITE BS,SALEM,04:30,09:30
SALEM,0500BANSALDD02A / 100W,AC 3X2,SATELLITE BS,SALEM,05:00,10:00
SALEM,0555BANSALDD02L / 100JR,DELUXE 3X2,SATELLITE BS,SALEM,05:55,10:55
SALEM,0625BANSALDD01A / 100J,AC 3X2,SATELLITE BS,SALEM,06:25,11:25
SALEM,0700BANSALDD01L / 100A,DELUXE 3X2,SATELLITE BS,SALEM,07:00,12:00
SALEM,0830BANSALDD02L / 100L,DELUXE 3X2,SATELLITE BS,SALEM,08:30,13:30
SALEM,0940BANSALDD02L / 100SU,DELUXE 3X2,SATELLITE BS,SALEM,09:40,14:40
SALEM,1000BANSALDD01L / 100F,DELUXE 3X2,SATELLITE BS,SALEM,10:00,15:00
SALEM,1040BANSALDD02L / 100A,DELUXE 3X2,SATELLITE BS,SALEM,10:40,15:40
SALEM,1105BANSALDD01L / 100A,DELUXE 3X2,SATELLITE BS,SALEM,11:05,16:05
SALEM,1230BANSALDD02L / 100S,DELUXE 3X2,SATELLITE BS,SALEM,12:30,17:30
SALEM,1300BANSALDD02A / 100G,AC 3X2,SATELLITE BS,SALEM,13:00,18:00
SALEM,1350BANSALDD02A / 100I,AC 3X2,SATELLITE BS,SALEM,13:50,18:50
SALEM,1410BANSALDD01L / 300JV,DELUXE 3X2,SATELLITE BS,SALEM,14:10,19:10
SALEM,1430BANSALDD02A / 100P,AC 3X2,SATELLITE BS,SALEM,14:30,19:30
SALEM,1450BANSALDD02A / 100J,AC 3X2,SATELLITE BS,SALEM,14:50,19:50
